Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
a woman's drawstring handbag; usually made of net or beading or brocade; used in 18th and 19th centuries,reticule.n.01,a container used for carrying money and small personal items or accessories (especially by women),bag.n.04,Hypernyms
a cricket frog of eastern United States,eastern_cricket_frog.n.01,either of two frogs with a clicking call,cricket_frog.n.01,Hypernyms
the Siouan language spoken by the Iowa and Oto and Missouri,chiwere.n.01,a family of North American Indian languages spoken by the Sioux,siouan.n.02,Hypernyms
the Siouan language spoken by the Iowa and Oto and Missouri,chiwere.n.01,a dialect of the Chiwere language spoken by the Iowa,iowa.n.03,Hyponyms
the Siouan language spoken by the Iowa and Oto and Missouri,chiwere.n.01,a dialect of the Chiwere language spoken by the Missouri,missouri.n.04,Hyponyms
the Siouan language spoken by the Iowa and Oto and Missouri,chiwere.n.01,a dialect of the Chiwere language spoken by the Oto,oto.n.02,Hyponyms
wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed,gearing.n.01,mechanical device including an arrangement of wheel in a machine (especially a train of gears),wheelwork.n.01,Hypernyms
wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed,gearing.n.01,a system of epicyclic gears in which at least one wheel axis itself revolves about another fixed axis,epicyclic_train.n.01,Hyponyms
wheelwork consisting of a connected set of rotating gears by which force is transmitted or motion or torque is changed,gearing.n.01,gearing that reduces an input speed to a slower output speed,reduction_gear.n.01,Hyponyms
a European corvine bird of small or medium size with red legs and glossy black plumage,chough.n.01,birds of the crow family,corvine_bird.n.01,Hypernyms
similar to the striped mullet and takes its place in the Caribbean region,liza.n.01,freshwater or coastal food fishes a spindle-shaped body; found worldwide,mullet.n.02,Hypernyms
a job action in which workers cause a slowdown by doing only the minimum amount required by the rules of the workplace,work_to_rule.n.01,a temporary action by workers to protest management decision or to make demands,job_action.n.01,Hypernyms
an adherent of Donatism,donatist.n.01,someone who believes and helps to spread the doctrine of another,disciple.n.01,Hypernyms
give preference to one creditor over another,prefer.v.04,"give money, usually in exchange for goods or services",pay.v.01,Hypernyms
a genus of Bothidae,etropus.n.01,any of various genus of fish,fish_genus.n.01,Hypernyms
a British unit of capacity equal to 9 imperial gallons,firkin.n.01,a unit of measure for capacity officially adopted in the British Imperial System; British units are both dry and wet,british_capacity_unit.n.01,Hypernyms
erect European annual often grown as a salad crop to be harvested when young and tender,rocket.n.03,a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests,herb.n.01,Hypernyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,an anatomical structure used as a point of origin in locating other anatomical structures (as in surgery) or as point from which measurements can be taken,landmark.n.04,Hypernyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the anterior extremity of the intermaxillary suture,acanthion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the junction of the lamboid suture and the occipitomastoid suture and the parietomastoid suture,asterion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the center of the opening of the external acoustic meatus,auriculare.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the junction of the sagittal and coronal sutures at the top of the cranium,bregma.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the tip of the mandibular condyle,condylion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the tip of the coronoid process of the mandible,coronion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the tip of the greater wing of the sphenoid bone,crotaphion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the junction of the anterior border of the lacrimal bone with the frontal bone,dacryon.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the tip of the angular part of the parietal bone that articulates with the temporal bone,entomion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,a smooth prominence of the frontal bone between and above the eyebrows; the most forward projecting point of the forehead in the midline at the level of the supraorbital ridges,glabella.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the most inferior point of the mandible in the midline,gnathion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point on either side at the apex of the lower jaw,gonion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point that is the most prominent point at the back of the head (at the occipital protuberance),inion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the union of the frontal and temporal processes of the zygomatic bone,jugale.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the junction of the sagittal and lamboid sutures of the skull,lambda.n.02,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the lowest point of the mastoid process,mastoidale.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point midway between the frontal eminences of the skull,metopion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the bridge of the nose where the frontal and nasal bones of the skull meet,nasion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point on the sagittal suture near the lamboid suture,obelion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point in the midline of the forehead immediately above the orbits,ophryon.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point at the lowest point on the lower edge of the orbit,orbitale.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point that is the most forward-projecting point on the anterior surface of the chin,pogonion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,craniometric point that is the most anterior point in the midline on the alveolar process of the maxilla,prosthion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point in the region of the sphenoid fontanelle,pterion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the anterior tip at the end of the suture of the nasal bones,rhinion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the anterior tip of the parietal bone,sphenion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the craniometric point on the coronal suture above the acoustic meatus,stephanion.n.01,Hyponyms
a landmark on the skull from which craniometric measurements can be taken,craniometric_point.n.01,the most forward point of the alveolar process of the mandible,symphysion.n.01,Hyponyms
any of various red antibiotics isolated from soil bacteria,actinomycin.n.01,a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections,antibiotic.n.01,Hypernyms
someone whose task is to see that work goes harmoniously,coordinator.n.01,a person who brings order and organization to an enterprise,organizer.n.01,Hypernyms
a wet and dry bulb hygrometer,hygrodeik.n.01,measuring instrument for measuring the relative humidity of the atmosphere,hygrometer.n.01,Hypernyms
ware for domestic use made of wood,woodenware.n.01,"articles of the same kind or material; usually used in combination: `silverware', `software'",ware.n.01,Hypernyms
ware for domestic use made of wood,woodenware.n.01,a spoon made of wood,wooden_spoon.n.02,Hyponyms
temporary housing for homeless or displaced persons,shelter.n.05,structures collectively in which people are housed,housing.n.01,Hypernyms
temporary housing for homeless or displaced persons,shelter.n.05,shelter for persons displaced by war or political oppression or for religious beliefs,camp.n.07,Hyponyms
a disease of infants and young children; harsh coughing and hoarseness and fever and difficult breathing,croup.n.01,any disease of the throat or fauces marked by spasmodic attacks of intense suffocative pain,angina.n.01,Hypernyms
genus of American and Asiatic showy rhizomatous herbs: bush peas,thermopsis.n.01,a genus of dicotyledonous plants,rosid_dicot_genus.n.01,Hypernyms
a chart with bars whose lengths are proportional to quantities,bar_chart.n.01,a visual display of information,chart.n.01,Hypernyms
a chart with bars whose lengths are proportional to quantities,bar_chart.n.01,a bar chart representing a frequency distribution; heights of the bars represent observed frequencies,histogram.n.01,Hyponyms
monetary unit in Sierra Leone,sierra_leone_monetary_unit.n.01,a unit of money,monetary_unit.n.01,Hypernyms
monetary unit in Sierra Leone,sierra_leone_monetary_unit.n.01,the basic unit of money in Sierra Leone; equal to 100 cents,leone.n.01,Hyponyms
suggest as a logically necessary consequence; in logic,imply.v.02,give expression to,express.v.01,Hypernyms
suggest as a logically necessary consequence; in logic,imply.v.02,involve as a necessary condition of consequence; as in logic,connote.v.02,Hyponyms
suggest as a logically necessary consequence; in logic,imply.v.02,require as a necessary antecedent or precondition,presuppose.v.02,Hyponyms
suggest as a logically necessary consequence; in logic,imply.v.02,imply as a possibility,suggest.v.03,Hyponyms
the branch of pure mathematics that deals with the nature and relations of sets,set_theory.n.01,the branches of mathematics that study and develop the principles of mathematics for their own sake rather than for their immediate usefulness,pure_mathematics.n.01,Hypernyms
any of several winter squash plants producing large greyish-green football-shaped fruit with a rough warty rind,hubbard_squash.n.01,any of various plants of the species Cucurbita maxima and Cucurbita moschata producing squashes that have hard rinds and mature in the fall,winter_squash.n.01,Hypernyms
activity by children that is guided more by imagination than by fixed rules,play.n.08,an activity that diverts or amuses or stimulates,diversion.n.01,Hypernyms
activity by children that is guided more by imagination than by fixed rules,play.n.08,children take the roles of physician or patient or nurse and pretend they are at the physician's office,doctor.n.03,Hyponyms
activity by children that is guided more by imagination than by fixed rules,play.n.08,play in which children pretend to put out a fire,fireman.n.01,Hyponyms
activity by children that is guided more by imagination than by fixed rules,play.n.08,play in which children take the roles of father or mother or children and pretend to interact like adults,house.n.07,Hyponyms
introduce or insert (oneself) in a subtle manner,insinuate.v.01,bring in a new person or object into a familiar environment,bring_in.v.01,Hypernyms
any of five general councils of the Western Catholic Church that were held in the Lateran Palace,lateran_council.n.01,(Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine,council.n.02,Hypernyms
any of five general councils of the Western Catholic Church that were held in the Lateran Palace,lateran_council.n.01,the council in 1512-1517 that published disciplinary decrees and planned (but did not carry out) a crusade against Turkey,fifth_lateran_council.n.01,Hyponyms
any of five general councils of the Western Catholic Church that were held in the Lateran Palace,lateran_council.n.01,the first council of the Western Church held in the Lateran Palace in 1123; focused on church discipline and made plans to recover the Holy Lands from the Muslim `infidels',first_lateran_council.n.01,Hyponyms
any of five general councils of the Western Catholic Church that were held in the Lateran Palace,lateran_council.n.01,"the Lateran Council in 1215 was the most important council of the Middle Ages; issued a creed against Albigensianism, published reformatory decrees, promulgated the doctrine of transubstantiation, and clarified church doctrine on the Trinity and Incarnation",fourth_lateran_council.n.01,Hyponyms
any of five general councils of the Western Catholic Church that were held in the Lateran Palace,lateran_council.n.01,the second council of the Western Church in 1139 which put an end to the dogmatic errors of Arnold of Brescia,second_lateran_council.n.01,Hyponyms
any of five general councils of the Western Catholic Church that were held in the Lateran Palace,lateran_council.n.01,the Lateran Council in 1179 that condemned the heresies of the Albigenses and the Waldenses,third_lateran_council.n.01,Hyponyms
any of various protozoa having a transparent goblet-shaped body with a retractile stalk,vorticella.n.01,a protozoan with a microscopic appendage extending from the surface of the cell,ciliate.n.01,Hypernyms
blatant or sensational promotion,ballyhoo.n.01,a message issued in behalf of some product or cause or idea or person or institution,promotion.n.01,Hypernyms
the luminous flux incident on a unit area,illuminance.n.01,the quality of being luminous; emitting or reflecting light,luminosity.n.01,Hypernyms
a long (usually sleeveless) tunic of chain mail formerly worn as defensive armor,hauberk.n.01,(Middle Ages) flexible armor made of interlinked metal rings,chain_mail.n.01,Hypernyms
a school for training nurses,nursing_school.n.01,an educational institution,school.n.01,Hypernyms
the cranial nerve that serves the retina,optic_nerve.n.01,any of the 12 paired nerves that originate in the brain stem,cranial_nerve.n.01,Hypernyms
any person who exercises power in a cruel way,tyrant.n.03,a human being,person.n.01,Hypernyms
music written in the bolero rhythm of the beguine dance,beguine.n.02,music to dance to,dance_music.n.02,Hypernyms
large harmless plankton-eating northern shark; often swims slowly or floats at the sea surface,basking_shark.n.01,fierce pelagic and oceanic sharks,mackerel_shark.n.01,Hypernyms
large genus of perennials that develop from bulbs or rhizomes,genus_iris.n.01,large family of usually perennial geophytic herbs with rhizomes or corms or bulbs,iridaceae.n.01,Hypernyms
large genus of perennials that develop from bulbs or rhizomes,genus_iris.n.01,genus of monocotyledonous plants comprising mostly herbs having usually petaloid sepals and petals and compound pistils,liliid_monocot_genus.n.01,Hypernyms
climbing plants or shrubs,cocculus.n.01,genus of dicotyledonous flowering plants regarded as among the most primitive of extant angiosperms,magnoliid_dicot_genus.n.01,Hypernyms
(electricity) a rearrangement of the relative positions of power lines in order to minimize the effects of mutual capacitance and inductance,transposition.n.05,changing an arrangement,rearrangement.n.01,Hypernyms
a measuring instrument for measuring the curvature of a surface,spherometer.n.01,instrument that shows the extent or amount or quantity or degree of something,measuring_instrument.n.01,Hypernyms
someone who spells words,speller.n.01,a person who is able to write and has written something,writer.n.02,Hypernyms
face and withstand with courage,weather.v.01,resist or confront with resistance,defy.v.01,Hypernyms
an unpleasant person who grabs inconsiderately,grabber.n.01,a person who is not pleasant or agreeable,unpleasant_person.n.01,Hypernyms
"reverse the position, order, relation, or condition of",invert.v.02,assign a new order to,reorder.v.01,Hypernyms
a body of troops arranged in a line,echelon.n.01,a unit that is part of some military service,military_unit.n.01,Hypernyms
a movement of world Jewry that arose late in the 19th century with the aim of creating a Jewish state in Palestine,zionism.n.02,a group of people with a common ideology who try together to achieve certain general goals,movement.n.04,Hypernyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,use of physical or mental energy; hard work,effort.n.02,Hypernyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercise designed to strengthen the arm muscles,arm_exercise.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercise designed to strengthen the back muscles,back_exercise.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercise that builds muscles through tension,bodybuilding.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,light exercises designed to promote general fitness,calisthenics.n.02,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercise intended to strengthen the circulatory system,cardiopulmonary_exercise.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,(gymnastics) an exercise designed to develop and display strength and agility and balance (usually performed with or on some gymnastic apparatus),gymnastic_exercise.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,muscle-building exercises (or a system of musclebuilding exercises) involving muscular contractions against resistance without movement (the muscles contracts but the length of the muscle does not change),isometrics.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercise in which opposing muscles contract and there is controlled movement (tension is constant while the lengths of the muscles change),isotonic_exercise.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercises for women designed to improve the ability to hold urine,kegel_exercises.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,raising the feet backward with the hands on the ground; a first movement in doing a handstand,kick_up.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercise designed to strengthen the leg muscles,leg_exercise.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercise designed to strengthen the neck muscles,neck_exercise.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,several exercises intended to be done in series,set.n.03,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,an exercise designed to strengthen the abdominal muscles,stomach_exercise.n.01,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,exercise designed to extend the limbs and muscles to their full extent,stretch.n.04,Hyponyms
the activity of exerting your muscles in various ways to keep fit,exercise.n.01,a system of exercises practiced as part of the Hindu discipline to promote control of the body and mind,yoga.n.02,Hyponyms
small dry indehiscent fruit with the seed distinct from the fruit wall,achene.n.01,the ripened reproductive body of a seed plant,fruit.n.01,Hypernyms
small dry indehiscent fruit with the seed distinct from the fruit wall,achene.n.01,a winged often one-seed indehiscent fruit as of the ash or elm or maple,samara.n.01,Hyponyms
run away secretly with one's beloved,elope.v.01,run away quickly,flee.v.01,Hypernyms
line of descent of a purebred animal,pedigree.n.02,a special variety of domesticated animals within a species,breed.n.01,Hypernyms
the antiparticle of a quark,antiquark.n.01,(physics) a particle that is less complex than an atom; regarded as constituents of all matter,elementary_particle.n.01,Hypernyms
genus of fossil plants having wood identical with or similar to that of the witch hazel,hamamelidoxylon.n.01,genus of flowering plants having two cotyledons (embryonic leaves) in the seed which usually appear at germination,dicot_genus.n.01,Hypernyms
the act of making some area of land or water more profitable or productive or useful,exploitation.n.01,the act of using,use.n.01,Hypernyms
the act of making some area of land or water more profitable or productive or useful,exploitation.n.01,the act of capitalizing on an opportunity,capitalization.n.03,Hyponyms
the act of making some area of land or water more profitable or productive or useful,exploitation.n.01,the act of commercializing something; involving something in commerce,commercialization.n.01,Hyponyms
the act of making some area of land or water more profitable or productive or useful,exploitation.n.01,the act of providing electricity,electrification.n.02,Hyponyms
the act of making some area of land or water more profitable or productive or useful,exploitation.n.01,making an area of land more useful,land_development.n.01,Hyponyms
the act of making some area of land or water more profitable or productive or useful,exploitation.n.01,exploitation to the point of diminishing returns,overexploitation.n.01,Hyponyms
the act of making some area of land or water more profitable or productive or useful,exploitation.n.01,the joint development of a petroleum resource that straddles territory controlled by different companies,unitization.n.04,Hyponyms
the act of making some area of land or water more profitable or productive or useful,exploitation.n.01,making an area of water more useful,water_development.n.01,Hyponyms
a measuring instrument for measuring viscosity,viscometer.n.01,instrument that shows the extent or amount or quantity or degree of something,measuring_instrument.n.01,Hypernyms
handle clumsily,fumble.v.03,"touch, lift, or hold with the hands",handle.v.04,Hypernyms
repeated spontaneous abortion (often for no known reason),habitual_abortion.n.01,a natural loss of the products of conception,spontaneous_abortion.n.01,Hypernyms
"large genus of shrubs and trees and some woody vines of Central and South America, Africa, Australia and Polynesia: wattle; mimosa",genus_acacia.n.01,a genus of dicotyledonous plants,rosid_dicot_genus.n.01,Hypernyms
soil bacteria that convert nitrites to nitrates,nitric_bacteria.n.01,a large group of bacteria having rigid cell walls; motile types have flagella,eubacteria.n.01,Hypernyms
a spider that spins a circular (or near circular) web,orb-weaving_spider.n.01,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey",spider.n.01,Hypernyms
"the intellectual conception of a thing as it is in itself, not as it is known through perception",noumenon.n.01,"the sum or range of what has been perceived, discovered, or learned",content.n.05,Hypernyms
cause great unhappiness for; distress,afflict.v.01,cause to lose one's composure,upset.v.02,Hypernyms
cause great unhappiness for; distress,afflict.v.01,cause to feel sorrow,grieve.v.02,Hyponyms
cause great unhappiness for; distress,afflict.v.01,oppress or trouble greatly,tribulate.v.01,Hyponyms
cause great unhappiness for; distress,afflict.v.01,test the limits of,try.v.07,Hyponyms
fire delivered on a specific target in response to a request from the supported unit,call_fire.n.01,the act of firing weapons or artillery at an enemy,fire.n.02,Hypernyms
a microchip that uses tiny strands of DNA to latch onto and quickly recognize thousands of genes at a time; intended for use in a biological environment,biochip.n.01,electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit,chip.n.07,Hypernyms
a planned urban community created in a rural or undeveloped area and designed to be self-sufficient with its own housing and education and commerce and recreation,new_town.n.01,a geographical area constituting a city or town,urban_area.n.01,Hypernyms
considered ancient life forms that evolved separately from bacteria and blue-green algae,archaebacteria.n.01,organisms that typically reproduce by asexual budding or fission and whose nutritional mode is absorption or photosynthesis or chemosynthesis,moneran.n.01,Hypernyms
considered ancient life forms that evolved separately from bacteria and blue-green algae,archaebacteria.n.01,archaebacteria requiring a salt-rich environment for growth and survival,halophile.n.01,Hyponyms
considered ancient life forms that evolved separately from bacteria and blue-green algae,archaebacteria.n.01,archaebacteria found in anaerobic environments such as animal intestinal tracts or sediments or sewage and capable of producing methane; a source of natural gas,methanogen.n.01,Hyponyms
considered ancient life forms that evolved separately from bacteria and blue-green algae,archaebacteria.n.01,archaebacteria that thrive in strongly acidic environments at high temperatures,thermoacidophile.n.01,Hyponyms
the quality of being spasmodic and irregular,fitfulness.n.01,not characterized by a fixed principle or rate; at irregular intervals,irregularity.n.02,Hypernyms
the quality of being spasmodic and irregular,fitfulness.n.01,the quality of moving or acting in spasms,spasticity.n.01,Hyponyms
the blade of a knife,knife_blade.n.01,the flat part of a tool or weapon that (usually) has a cutting edge,blade.n.09,Hypernyms
become vascular and have vessels that circulate fluids,vascularize.v.01,undergo a change; become different in essence; losing one's or its original nature,change.v.02,Hypernyms
an artery that originates from the celiac trunk and supplies blood to the spleen,lienal_artery.n.01,a blood vessel that carries blood from the heart to the body,artery.n.01,Hypernyms
place restrictions on,restrict.v.01,"restrict or confine,",limit.v.02,Hypernyms
place restrictions on,restrict.v.01,"lessen, diminish, or curtail",abridge.v.02,Hyponyms
place restrictions on,restrict.v.01,cause to be unable to move,immobilize.v.06,Hyponyms
a registered nurse who has received special training and can perform many of the duties of a physician,nurse_practitioner.n.01,a graduate nurse who has passed examinations for registration,registered_nurse.n.01,Hypernyms
the paleobiology of birds,paleornithology.n.01,the study of fossil animals,paleozoology.n.01,Hypernyms
an engraved inscription,epigraph.n.02,letters inscribed (especially words engraved or carved) on something,inscription.n.01,Hypernyms
a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence),jail.n.01,a penal institution maintained by the government,correctional_institution.n.01,Hypernyms
a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence),jail.n.01,a jail or prison (especially one that is run in a tyrannical manner),bastille.n.02,Hyponyms
a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence),jail.n.01,a jail in a courthouse where accused persons can be confined during a trial,holding_cell.n.01,Hyponyms
a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence),jail.n.01,slang for a jail,hoosegow.n.01,Hyponyms
a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence),jail.n.01,(formerly) a jail or other place of detention for persons convicted of minor offences,house_of_correction.n.01,Hyponyms
a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence),jail.n.01,jail in a local police station,lockup.n.01,Hyponyms
a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence),jail.n.01,a county jail that holds prisoners for periods up to 18 months,workhouse.n.02,Hyponyms
any fungus of the genus Gyromitra,gyromitra.n.01,an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia,fungus.n.01,Hypernyms
any fungus of the genus Gyromitra,gyromitra.n.01,a gyromitra with a brown puffed up fertile part and a thick fluted stalk; found under conifers in California,gyromitra_californica.n.01,Hyponyms
any fungus of the genus Gyromitra,gyromitra.n.01,a poisonous gyromitra; the surface of the fertile body is smooth at first and becomes progressively undulating and wrinkled (but never truly pitted); color varies from dull yellow to brown,gyromitra_esculenta.n.01,Hyponyms
any fungus of the genus Gyromitra,gyromitra.n.01,a gyromitra with a large irregular stalk and fertile part that is yellow to brown and wrinkled; has early fruiting time,gyromitra_gigas.n.01,Hyponyms
any fungus of the genus Gyromitra,gyromitra.n.01,a poisonous fungus; saddle-shaped and dull yellow to brown fertile part is relatively even,gyromitra_infula.n.01,Hyponyms
any fungus of the genus Gyromitra,gyromitra.n.01,a gyromitra with a brown puffed up fertile part and a rosy pink fluted stalk and smooth round spores; found on hardwood slash east of the Great Plains,gyromitra_sphaerospora.n.01,Hyponyms
an ardent early supporter of a cause or reform,apostle.n.01,a supporter who accepts something as true,believer.n.01,Hypernyms
sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background,relief.n.10,a three-dimensional work of plastic art,sculpture.n.01,Hypernyms
sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background,relief.n.10,a sculptural relief in which forms extend out from the background to at least half their depth,alto_relievo.n.01,Hyponyms
sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background,relief.n.10,a sculptural relief in which forms extend only slightly from the background; no figures are undercut,bas_relief.n.01,Hyponyms
sculpture consisting of shapes carved on a surface so as to stand out from the surrounding background,relief.n.10,a sculptural relief between low relief and high relief,mezzo-relievo.n.01,Hyponyms
scissors for cropping and holding the snuff of a candlewick,snuffers.n.01,an edge tool having two crossed pivoting blades,scissors.n.01,Hypernyms
a small dry usually round cracker,oyster_cracker.n.01,a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet,cracker.n.01,Hypernyms
yeast-raised dinner roll made by baking three small balls of dough in each cup of a muffin pan,clover-leaf_roll.n.01,small rounded bread either plain or sweet,bun.n.01,Hypernyms
getting two things to correspond,reconciliation.n.02,the act of making equal or uniform,equalization.n.01,Hypernyms
interpret romantically,romanticize.v.01,consider or render as ideal,idealize.v.01,Hypernyms
the act of cutting short,truncation.n.03,act of decreasing in length,shortening.n.02,Hypernyms
acting with less concern for yourself than for the success of the joint activity,selflessness.n.02,joint operation or action,cooperation.n.01,Hypernyms
acting with less concern for yourself than for the success of the joint activity,selflessness.n.02,renunciation of your own interests in favor of the interests of others,abnegation.n.02,Hyponyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,primitive pouched mammals found mainly in Australia and the Americas,metatherian.n.01,Hypernyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,any of various agile ratlike terrestrial marsupials of Australia and adjacent islands; insectivorous and herbivorous,bandicoot.n.01,Hyponyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,small carnivorous nocturnal marsupials of Australia and Tasmania,dasyurid_marsupial.n.01,Hyponyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail,kangaroo.n.01,Hyponyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America,opossum.n.02,Hyponyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,terrestrial marsupials of southern South America that resemble shrews,opossum_rat.n.01,Hyponyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,small furry Australian arboreal marsupials having long usually prehensile tails,phalanger.n.01,Hyponyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,small burrowing Australian marsupial that resembles a mole,pouched_mole.n.01,Hyponyms
mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried,marsupial.n.01,burrowing herbivorous Australian marsupials about the size of a badger,wombat.n.01,Hyponyms
an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,stomach.n.01,a main organ that is situated inside the body,internal_organ.n.01,Hypernyms
an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,stomach.n.01,the fourth compartment of the stomach of a ruminant; the one where digestion takes place,abomasum.n.01,Hyponyms
an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,stomach.n.01,a pouch in many birds and some lower animals that resembles a stomach for storage and preliminary maceration of food,craw.n.01,Hyponyms
